URLID,TagID,Tag,End
BV1WE411W7JB_5FPS,1,起势,16
BV1WE411W7JB_5FPS,2,左右野马分鬃,41.4
BV1WE411W7JB_5FPS,3,白鹤亮翅,47.8
BV1WE411W7JB_5FPS,4,左右搂膝拗步,75.2
BV1WE411W7JB_5FPS,5,手挥琵琶,80.8
BV1WE411W7JB_5FPS,6,倒卷肱,104.8
BV1WE411W7JB_5FPS,7,左揽雀尾,128
BV1WE411W7JB_5FPS,8,右揽雀尾,154
BV1WE411W7JB_5FPS,9,单鞭,165
BV1WE411W7JB_5FPS,10,云手,181.4
BV1WE411W7JB_5FPS,11,单鞭(2nd),188.8
BV1WE411W7JB_5FPS,12,高探马,194.8
BV1WE411W7JB_5FPS,13,右蹬腿,204.2
BV1WE411W7JB_5FPS,14,双峰贯耳,211
BV1WE411W7JB_5FPS,15,转身左蹬腿,220.6
BV1WE411W7JB_5FPS,16,左下势独立,231.4
BV1WE411W7JB_5FPS,17,右下势独立,244
BV1WE411W7JB_5FPS,18,左右穿梭,260.8
BV1WE411W7JB_5FPS,19,海底针,266.4
BV1WE411W7JB_5FPS,20,闪通臂,272
BV1WE411W7JB_5FPS,21,转身搬拦捶,284
BV1WE411W7JB_5FPS,22,如封似闭,291.2
BV1WE411W7JB_5FPS,23,十字手,298.8
BV1WE411W7JB_5FPS,24,收势,306.8
